-50000.00 0.00 55559.75 2000.00 #x_min(m) z_min(m) x_max(m) z_max(m)
5000.0000 10.0000                #dx(m) dz(m)
-44973.35 1580.00 1486.6018  1034.9712 34.5837 2.5872
-44973.35 1590.00 1486.7056  1035.0207 34.5854 2.5712
-44973.35 1600.00 1486.8095  1035.0701 34.5871 2.5551
-44973.35 1610.00 1486.9133  1035.1196 34.5888 2.5390
-44973.35 1620.00 1487.0172  1035.1690 34.5905 2.5230
-44973.35 1630.00 1487.1210  1035.2185 34.5922 2.5069
-44973.35 1640.00 1487.2291  1035.2677 34.5937 2.4918
-44973.35 1650.00 1487.3402  1035.3167 34.5951 2.4774
-44973.35 1660.00 1487.4513  1035.3657 34.5966 2.4630
-44973.35 1670.00 1487.5624  1035.4147 34.5980 2.4487
-44973.35 1680.00 1487.6734  1035.4637 34.5994 2.4343
-44973.35 1690.00 1487.7845  1035.5127 34.6009 2.4199
-44973.35 1700.00 1487.8956  1035.5617 34.6023 2.4055
-44973.35 1710.00 1488.0067  1035.6107 34.6037 2.3912
-44973.35 1720.00 1488.1178  1035.6597 34.6052 2.3768
-44973.35 1730.00 1488.2289  1035.7087 34.6066 2.3624
-44973.35 1740.00 1488.3400  1035.7577 34.6080 2.3480
-44973.35 1750.00 1488.4511  1035.8067 34.6094 2.3336
-44973.35 1760.00 1488.5621  1035.8557 34.6109 2.3193
-44973.35 1770.00 1488.6778  1035.9044 34.6122 2.3059
-44973.35 1780.00 1488.7984  1035.9529 34.6133 2.2937
-44973.35 1790.00 1488.9190  1036.0013 34.6145 2.2815
-44973.35 1800.00 1489.0395  1036.0498 34.6157 2.2693
-44973.35 1810.00 1489.1601  1036.0982 34.6168 2.2571
-44973.35 1820.00 1489.2807  1036.1467 34.6180 2.2449
-44973.35 1830.00 1489.4012  1036.1952 34.6192 2.2326
-44973.35 1840.00 1489.5218  1036.2436 34.6203 2.2204
-44973.35 1850.00 1489.6424  1036.2921 34.6215 2.2082
-44973.35 1860.00 1489.7629  1036.3406 34.6226 2.1960
-44973.35 1870.00 1489.8835  1036.3890 34.6238 2.1838
-44973.35 1880.00 1490.0040  1036.4375 34.6250 2.1716
-44973.35 1890.00 1490.1246  1036.4859 34.6261 2.1593
-44973.35 1900.00 1490.2452  1036.5344 34.6273 2.1471
-44973.35 1910.00 1490.3657  1036.5829 34.6285 2.1349
-44973.35 1920.00 1490.4926  1036.6310 34.6295 2.1241
-44973.35 1930.00 1490.6239  1036.6789 34.6304 2.1143
-44973.35 1940.00 1490.7551  1036.7268 34.6313 2.1044
-44973.35 1950.00 1490.8864  1036.7747 34.6322 2.0946
-44973.35 1960.00 1491.0177  1036.8226 34.6332 2.0848
-44973.35 1970.00 1491.1490  1036.8705 34.6341 2.0750
-44973.35 1980.00 1491.2803  1036.9184 34.6350 2.0651
-44973.35 1990.00 1491.4116  1036.9663 34.6359 2.0553
-44973.35 2000.00 1491.5429  1037.0142 34.6369 2.0455
-39946.69 0.00 1511.7150  1024.9980 34.2929 16.9081
-39946.69 10.00 1511.7903  1025.0485 34.2914 16.8773
-39946.69 20.00 1511.7163  1025.1088 34.2877 16.7980
-39946.69 30.00 1511.2580  1025.1932 34.2779 16.5947
-39946.69 40.00 1510.3147  1025.3074 34.2608 16.2372
-39946.69 50.00 1508.9708  1025.4443 34.2383 15.7560
-39946.69 60.00 1507.4265  1025.5897 34.2132 15.2182
-39946.69 70.00 1505.8665  1025.7319 34.1879 14.6831
-39946.69 80.00 1504.4171  1025.8636 34.1635 14.1892
-39946.69 90.00 1503.1287  1025.9819 34.1395 13.7508
-39946.69 100.00 1501.9937  1026.0879 34.1153 13.3639
-39946.69 110.00 1500.9877  1026.1846 34.0920 13.0192
-39946.69 120.00 1500.0653  1026.2767 34.0708 12.7016
-39946.69 130.00 1499.1567  1026.3692 34.0529 12.3895
-39946.69 140.00 1498.2209  1026.4656 34.0390 12.0702
-39946.69 150.00 1497.2860  1026.5716 34.0387 11.7497
-39946.69 160.00 1496.4021  1026.6842 34.0509 11.4415
-39946.69 170.00 1495.5594  1026.8021 34.0731 11.1433
